Date,ClosePrice
22-Aug-24,$40.94 
23-Aug-24,$40.67 
26-Aug-24,$40.84 
27-Aug-24,$41.35 
28-Aug-24,$40.76 
29-Aug-24,$40.53 
30-Aug-24,$40.77 
2-Sep-24,$40.33 
3-Sep-24,$39.63 
4-Sep-24,$38.64 
5-Sep-24,$38.91 
6-Sep-24,$38.45 
9-Sep-24,$38.76 
10-Sep-24,$38.66 
11-Sep-24,$39.34 
12-Sep-24,$38.81 
13-Sep-24,$39.60 
16-Sep-24,$39.55 
17-Sep-24,$39.55 
18-Sep-24,$39.19 
19-Sep-24,$40.19 
20-Sep-24,$40.34 
