Date,ClosePrice
22-Aug-24,$136.46 
23-Aug-24,$136.80 
26-Aug-24,$138.81 
27-Aug-24,$137.43 
28-Aug-24,$138.57 
29-Aug-24,$138.80 
30-Aug-24,$139.50 
2-Sep-24,$141.77 
3-Sep-24,$143.38 
4-Sep-24,$139.94 
5-Sep-24,$141.35 
6-Sep-24,$143.47 
9-Sep-24,$142.95 
10-Sep-24,$143.77 
11-Sep-24,$141.05 
12-Sep-24,$142.96 
13-Sep-24,$141.65 
16-Sep-24,$142.99 
17-Sep-24,$143.04 
18-Sep-24,$143.32 
19-Sep-24,$144.02 
20-Sep-24,$144.50 
