Date,ClosePrice
22-Aug-24,$75.21 
23-Aug-24,$76.16 
26-Aug-24,$76.99 
27-Aug-24,$76.70 
28-Aug-24,$77.20 
29-Aug-24,$74.06 
30-Aug-24,$72.60 
2-Sep-24,$72.42 
3-Sep-24,$71.39 
4-Sep-24,$70.13 
5-Sep-24,$69.21 
6-Sep-24,$70.01 
9-Sep-24,$69.47 
10-Sep-24,$69.06 
11-Sep-24,$69.59 
12-Sep-24,$70.38 
13-Sep-24,$70.10 
16-Sep-24,$70.58 
17-Sep-24,$70.60 
18-Sep-24,$70.61 
19-Sep-24,$70.15 
20-Sep-24,$71.22 
